"filename", "language", "JavaScript", "CSS", "JavaScript React", "comment", "blank", "total"
"c:\Users\ESS\dev\lectro-app\src\App.js", "JavaScript", 40, 0, 0, 0, 7, 47
"c:\Users\ESS\dev\lectro-app\src\components\FormContainer.jsx", "JavaScript React", 0, 0, 25, 0, 2, 27
"c:\Users\ESS\dev\lectro-app\src\components\Header.jsx", "JavaScript React", 0, 0, 27, 0, 3, 30
"c:\Users\ESS\dev\lectro-app\src\components\LabelContainer.jsx", "JavaScript React", 0, 0, 44, 0, 3, 47
"c:\Users\ESS\dev\lectro-app\src\components\Sidebar.jsx", "JavaScript React", 0, 0, 197, 1, 10, 208
"c:\Users\ESS\dev\lectro-app\src\components\Topbar.jsx", "JavaScript React", 0, 0, 67, 3, 7, 77
"c:\Users\ESS\dev\lectro-app\src\components\mainTable.jsx", "JavaScript React", 0, 0, 57, 0, 6, 63
"c:\Users\ESS\dev\lectro-app\src\components\navButton.jsx", "JavaScript React", 0, 0, 24, 0, 4, 28
"c:\Users\ESS\dev\lectro-app\src\data\accounts.js", "JavaScript", 9, 0, 0, 0, 0, 9
"c:\Users\ESS\dev\lectro-app\src\data\mockData.js", "JavaScript", 358, 0, 0, 0, 6, 364
"c:\Users\ESS\dev\lectro-app\src\data\products.js", "JavaScript", 205, 0, 0, 0, 2, 207
"c:\Users\ESS\dev\lectro-app\src\index.css", "CSS", 0, 25, 0, 3, 7, 35
"c:\Users\ESS\dev\lectro-app\src\index.js", "JavaScript", 13, 0, 0, 0, 0, 13
"c:\Users\ESS\dev\lectro-app\src\scenes\clients\form.jsx", "JavaScript React", 0, 0, 257, 1, 16, 274
"c:\Users\ESS\dev\lectro-app\src\scenes\clients\index.jsx", "JavaScript React", 0, 0, 31, 1, 4, 36
"c:\Users\ESS\dev\lectro-app\src\scenes\clients\table.jsx", "JavaScript React", 0, 0, 19, 0, 4, 23
"c:\Users\ESS\dev\lectro-app\src\scenes\contacts\index.jsx", "JavaScript React", 0, 0, 47, 0, 4, 51
"c:\Users\ESS\dev\lectro-app\src\scenes\dashboard\index.jsx", "JavaScript React", 0, 0, 12, 0, 2, 14
"c:\Users\ESS\dev\lectro-app\src\scenes\form\index.jsx", "JavaScript React", 0, 0, 209, 6, 10, 225
"c:\Users\ESS\dev\lectro-app\src\scenes\invoices\index.jsx", "JavaScript React", 0, 0, 49, 0, 4, 53
"c:\Users\ESS\dev\lectro-app\src\scenes\newProject\form.jsx", "JavaScript React", 0, 0, 197, 0, 7, 204
"c:\Users\ESS\dev\lectro-app\src\scenes\newProject\index.jsx", "JavaScript React", 0, 0, 121, 0, 14, 135
"c:\Users\ESS\dev\lectro-app\src\scenes\newProject\productsForm.jsx", "JavaScript React", 0, 0, 222, 0, 21, 243
"c:\Users\ESS\dev\lectro-app\src\scenes\newProject\study.jsx", "JavaScript React", 0, 0, 118, 0, 10, 128
"c:\Users\ESS\dev\lectro-app\src\scenes\projects\index.jsx", "JavaScript React", 0, 0, 34, 1, 4, 39
"c:\Users\ESS\dev\lectro-app\src\scenes\projects\table.jsx", "JavaScript React", 0, 0, 65, 0, 7, 72
"c:\Users\ESS\dev\lectro-app\src\scenes\team\index.jsx", "JavaScript React", 0, 0, 70, 0, 7, 77
"c:\Users\ESS\dev\lectro-app\src\theme.js", "JavaScript", 241, 0, 0, 3, 8, 252
"Total", "-", 866, 25, 1892, 19, 179, 2981
